_id,etunimi,sukunimi,syntymavuosi,esittely,tunniste,createdAt,updatedAt,__v,created_by,updated_by
5f689709e380b82d111d51fa,Päivi,Paunu,,,paunu,2020-09-21T12:05:29.647Z,2020-09-21T12:05:29.658Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5
5f689739e380b82d111d51fb,Päivi,Lempinen,,,lempinen,2020-09-21T12:06:17.432Z,2021-02-18T00:32:27.338Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3
5f689751e380b82d111d51fc,Onerva,Karlsson,,,karlsson,2020-09-21T12:06:41.429Z,2020-09-21T12:06:41.439Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5
5f68976ae380b82d111d51fd,Anne,Marmonnier,,,marmonnier,2020-09-21T12:07:06.387Z,2020-09-21T12:07:06.398Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5
5f689786e380b82d111d51fe,Johanna,Koistinen,1956,"Johanna Koistinen on tunnettu ja arvostettu graafikko, jonka töitä on ollut näyttelyissä v. 1982 alkaen. Taiteilijalle ominaisia ovat kasvi- ja käsiteemat, jotka toistuvat hänen aiheissaan. Lukuisia yksityis- ja yhteisnäyttelyitä. Teoksia kokoelmissa Suomessa ja ulkomailla.",koistinen,2020-09-21T12:07:34.189Z,2020-09-28T19:12:11.764Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3
5f6897d8e380b82d111d51ff,Päivi,Somppi,1973,Graafikko Päivi Somppi tunnetaan myyttisistä aiheistaan. Hänen lähtökohtanaan ovat usein muinaisen Egyptin ja antiikin Kreikan tarut. Näyttelyitä vuodesta 1995.,somppi,2020-09-21T12:08:56.061Z,2020-09-28T19:25:52.793Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3
5f6897ebe380b82d111d5200,Kaj,Stenvall,1951,"Taiteilija tunnetaan erityisesti ankkateoksistaan, jotka ovat saaneet runsaasti tunnustusta eri puolilla maailmaa. Stenvallin töitä on ollut esillä vuodesta 1972 ja niitä on kaikissa huomattavissa kokoelmissa mm. Kiasmassa, Wäinö Aaltosen museossa ja Helsingin kaupungin Taidemuseossa.",stenvall,2020-09-21T12:09:15.920Z,2020-09-28T19:14:52.963Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3
5f6897fde380b82d111d5201,Tapani,Mikkonen,,"Tapani Mikkonen on puhdasverinen graafikko niin ilmaisultaan kuin tekniikaltaan. Mikkonen on moneen kertaan palkittu taiteilija, jonka töitä on esillä merkittävissä suomalaisissa museoissa. Hän on osallistunut lukuisiin näyttelyihin niin Suomessa kuin ulkomailla.",mikkonen,2020-09-21T12:09:33.869Z,2020-09-28T19:28:53.334Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3
5f689816e380b82d111d5202,Vappu,Johansson,,,johansson,2020-09-21T12:09:58.680Z,2020-09-21T12:09:58.691Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5
5f689845e380b82d111d5203,Maartit,Kontiainen,,,kontiainen,2020-09-21T12:10:45.227Z,2020-09-21T12:10:45.239Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5
5f6898c5e380b82d111d5205,Mia,Bergqvist,1974,"Lämminhenkisistä töistään tunnettu nuoren polven taidemaalari on naivistisen tyylisuunnan edustaja. Seikkailevaksi uneksijaksi itseään luonnehtiva taiteilija on osallistunut lukuisiin naivistitaiteilijoiden näyttelyihin, kuten Naivistit Iittalassa-näyttelyyn.",bergqvist,2020-09-21T12:12:53.771Z,2020-09-28T19:21:42.395Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3
5f6898dbe380b82d111d5206,,Clyv,,,clyv,2020-09-21T12:13:15.397Z,2020-09-21T12:13:15.411Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5
5f6898f2e380b82d111d5207,Pauli,Vuorisalo,1944,"Arvostettu monipuolinen taiteilija, jonka töitä on ollut ensi kertaa esillä v. 1962. Hänen töitään on useissa kokoelmissa ja museoissa Suomessa ja ulkomailla.",vuorisalo,2020-09-21T12:13:38.253Z,2020-09-28T19:23:28.916Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3
5f689902e380b82d111d5208,Pekka,Vuori,1935,"Tunnettu graafikkona ja kirjojen ja lehtien kuvittajana. Taiteilija kuvittaa mm. Helsingin Sanomia. Palkittu Rudolf Koivu -palkinnolla, valittu vuoden graafikoksi jne.",vuori,2020-09-21T12:13:54.308Z,2020-09-28T19:24:12.017Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3
5f689914e380b82d111d5209,Leena,Airikkala,1953,"Leena Airikkala on helsinkiläinen graafikko, joka tunnetaan elämänmyönteisistä, kasveja ja arjen esineitä kuvaavista maalauksistaan. Taiteilijalla on ollut useita yksityis- ja yhteisnäyttelyitä Suomessa ja ulkomailla.",airikkala,2020-09-21T12:14:12.501Z,2020-09-28T19:18:32.766Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3
5f689926e380b82d111d520a,Tuula,Lappalainen,,,lappalainen,2020-09-21T12:14:30.843Z,2020-09-21T12:14:30.853Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5
5f689937e380b82d111d520b,Lauri,Laine,,,laine,2020-09-21T12:14:47.179Z,2020-09-21T12:14:47.190Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5
5f689947e380b82d111d520c,Juhana,Blomstedt,,,blomstedt,2020-09-21T12:15:03.351Z,2020-09-21T12:15:03.363Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5
5f689959e380b82d111d520d,Kirsi,Neuvonen,,,neuvonen,2020-09-21T12:15:21.023Z,2020-09-21T12:15:21.033Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5
5f68996ee380b82d111d520e,Hannu,Väisänen,1951,"Hannu Väisänen on tunnetuimpia nykytaiteilijoitamme. Hän on taiteen moniottelija, kuvataiteilija, runoilija ja lavastaja. Hannu Väisäsen töitä on useiden taidemuseoiden kokoelmissa ja lukuisissa yksityisnäyttelyissä.",vaisänen,2020-09-21T12:15:42.936Z,2020-09-28T19:10:57.921Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3
5f689985e380b82d111d520f,Pentti,Koivikko,1944,"Tunnettu taidemaalari, piirtäjä ja graafikko, jonka teoksia on lukuisissa taidemuseoissa ja kokoelmissa Suomessa ja ulkomailla.",koivikko,2020-09-21T12:16:05.304Z,2020-09-28T19:24:56.760Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3
5f689996e380b82d111d5210,Anu,Juurak,,,juurak,2020-09-21T12:16:22.115Z,2020-09-21T12:16:22.126Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5
5f6899b2e380b82d111d5211,Urpo,Huhtanen,,,huhtanen,2020-09-21T12:16:50.773Z,2020-09-21T12:16:50.786Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5
5f6899f6e380b82d111d5212,Tapani,Kiippa,,,kiippa,2020-09-21T12:17:58.809Z,2020-09-21T12:17:58.820Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5
5f689a0de380b82d111d5213,Juha,Soisalo,,,soisalo,2020-09-21T12:18:21.765Z,2020-09-21T12:18:21.776Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5
5f689a22e380b82d111d5214,Marie,Para,,,para,2020-09-21T12:18:42.051Z,2020-09-21T12:18:42.090Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5
5f689a36e380b82d111d5215,Michel,Dumontet,,,dumontet,2020-09-21T12:19:02.745Z,2020-09-21T12:19:02.756Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5
5f7236706ed38803f5d48672,Kuutti,Lavonen,1960,"Kuutti Lavonen on yksi tunnetuimpia nykytaiteilijoitamme. Hänet tunnetaan monipuolisena maalarina, graafikkona ja kirjoittajana. Lisäksi hän on vaikuttanut taide-elämäämme opettajana Kuvataideakatemiassa. Hänen töitään on johtavissa museoissa ja kokoelmissa. Lukuisia yksityis- ja yhteisnäyttelyitä vuodesta 1980.",lavonen,2020-09-28T19:16:00.314Z,2020-09-28T19:16:00.507Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f72374c6ed38803f5d48673,Maria,Mughal,1974,"Maria Mughal on pakistanilais-suomalainen taidemaalari ja taiteen maisteri (2004). Hänen taiteessaan vuorottelevat rationaalisuus ja mystiikka, uni ja valve. Ympyrä- ja kasvikuviot kuvastavat elämän jatkuvuutta ja jatkuvaa liikettä. Taiteilijalla on ollut useita yksityis- ja yhteisnäyttelyitä vuodesta 2000 lähtien.",mughal,2020-09-28T19:19:40.248Z,2020-09-28T19:19:40.357Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f7238f16ed38803f5d48674,Sari,Bremer,1976,Sari Bremer on valmistunut v. 2000 kuvataiteen maisteriksi Kuvataideakatemian grafiikan laitokselta. Hän on opiskellut myös ulkomailla mm. Ranskassa ja Irlannissa. Lukuisia yksityis-ja yhteisnäyttelyitä vuodesta 1997.,bremer,2020-09-28T19:26:41.605Z,2020-09-28T19:26:41.725Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f7239576ed38803f5d48675,Seppo,Tamminen,1944,"Seppo Tamminen on vaikuttanut suomalaisessa taidemaailmassa 1960-luvun puolivälistä lähtien; ensin menestyvänä koruntekijänä, sitten menestyvänä maalarina.",tamminen,2020-09-28T19:28:23.075Z,2020-09-28T19:28:23.186Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3
5f7afb532adb35056c787598,Jade,Woods,,,woods,2020-10-05T10:54:11.714Z,2020-10-05T10:54:11.737Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5
