_id,title,tuotenumero,createdAt,updatedAt,__v,artist,created_by,updated_by,Taiteilija,teosnimi,nayttokuva,hinta,korkeus,leveys,tekniikka,valmistumisvuosi,vedosmaara
5f75ba292adb35056c7874f3,Neuvonen,,2020-10-01T11:14:49.569Z,2020-10-01T11:14:49.581Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689959e380b82d111d520d,Alexandra Simbergin talvipuku,[],450,,,Etsaus-akvatinta,1993,90
5f75bb052adb35056c7874f4,Väisänen,,2020-10-01T11:18:29.933Z,2020-10-01T11:18:29.944Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68996ee380b82d111d520e,Kaksi vanhaa pihlajaa,[],700,,,Litografia,1990,100
5f75bcad2adb35056c7874f5,Juurak,,2020-10-01T11:25:33.478Z,2020-10-01T11:25:33.490Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689996e380b82d111d5210,Hüpe-Hyppy,[],180,59,75,Serigrafia,1989,100
5f75bd1e2adb35056c7874f6,Juurak,,2020-10-01T11:27:26.447Z,2020-10-01T11:27:26.460Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689996e380b82d111d5210,Koonus-Kartio,[],180,59,75,Serigrafia,1989,100
5f75bdaa2adb35056c7874f7,Huhtanen,,2020-10-01T11:29:46.576Z,2020-10-01T11:29:46.588Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6899b2e380b82d111d5211,Susi,[],,,,Serigrafia,,
5f75bdca2adb35056c7874f8,Huhtanen,,2020-10-01T11:30:18.560Z,2020-10-01T11:30:18.570Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6899b2e380b82d111d5211,Hirvi,[],,,,Serigrafia,,
5f75bdf62adb35056c7874f9,Huhtanen,,2020-10-01T11:31:02.069Z,2020-10-01T11:31:02.082Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6899b2e380b82d111d5211,Kuollut lintu,[],,,,Serigrafia,,
5f75be162adb35056c7874fa,Huhtanen,,2020-10-01T11:31:34.092Z,2020-10-01T11:31:34.105Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6899b2e380b82d111d5211,Pöllo ja hiiri,[],,,,Serigrafia,,
5f75be452adb35056c7874fb,Huhtanen,,2020-10-01T11:32:21.694Z,2020-10-01T11:32:21.706Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6899b2e380b82d111d5211,Metsälampi,[],,,,Serigrafia,,
5f75be752adb35056c7874fc,Huhtanen,,2020-10-01T11:33:09.157Z,2020-10-01T11:33:09.169Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6899b2e380b82d111d5211,Iso pöllö,[],,,,Serigrafia,,
5f75bea42adb35056c7874fd,Huhtanen,,2020-10-01T11:33:56.482Z,2020-10-01T11:33:56.494Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6899b2e380b82d111d5211,Kaksi pöllöä,[],,,,Serigrafia,,
5f75bec32adb35056c7874fe,Huhtanen,,2020-10-01T11:34:27.726Z,2020-10-01T11:34:27.736Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6899b2e380b82d111d5211,Kaksi palloa,[],,,,Serigrafia,,
